epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9398,2.28012,3.59501,0.7199,3.08576,2.55158,0.34043,0.04848,0.18343,0.06051,0.42553,0.06061,0.22655,0.08477,2.28588,4.15873,0.62774,3.0163,2.65993,8e-05,8e-05,8e-05
2,19.6083,2.18664,3.79128,0.71331,3.01734,2.44869,0.57746,0.12424,0.32769,0.13048,0.57746,0.12424,0.33505,0.11581,2.00656,4.0626,0.62595,2.3836,2.39712,0.000178218,0.000178218,0.000178218
3,25.5696,1.9367,3.63193,0.70871,2.35455,2.14548,0.39233,0.58889,0.41936,0.17617,0.39447,0.44848,0.31964,0.09085,1.99582,4.02654,0.6177,1.64211,2.28857,0.000274456,0.000274456,0.000274456
4,31.4376,1.33203,3.28074,0.7063,1.27414,1.67485,0.63742,0.60731,0.59697,0.32177,0.42537,0.51818,0.37227,0.10238,1.8522,3.77205,0.62357,1.1915,2.54949,0.000368714,0.000368714,0.000368714
5,37.6775,1.25741,2.78007,0.70588,1.04334,1.57349,0.5069,0.64545,0.56497,0.27937,0.53413,0.64848,0.54467,0.15243,2.05308,3.64166,0.62786,1.28791,2.83815,0.000460992,0.000460992,0.000460992
6,43.6966,1.1837,2.47333,0.70362,0.98511,1.51922,0.621,0.78788,0.69039,0.38598,0.49919,0.63333,0.47932,0.14884,1.5866,3.41021,0.65367,1.30026,2.1502,0.00055129,0.00055129,0.00055129
7,49.6956,1.15419,2.34013,0.70098,0.96191,1.49516,0.37562,0.55238,0.3673,0.14037,0.42697,0.5697,0.42305,0.14098,2.25884,3.44906,0.64868,2.65106,3.01594,0.000639608,0.000639608,0.000639608
8,55.3958,1.22839,2.34135,0.69275,0.98148,1.52483,0.51934,0.62121,0.57073,0.2322,0.47265,0.59481,0.51846,0.16386,1.83094,3.10085,0.6763,4.01205,2.62639,0.000725946,0.000725946,0.000725946
9,61.1983,1.07186,2.25354,0.69313,0.85894,1.44781,0.63983,0.70606,0.72444,0.32159,0.595,0.66061,0.64445,0.25802,1.84628,2.7946,0.66572,4.91983,2.69183,0.000810304,0.000810304,0.000810304
10,67.149,1.07544,1.94991,0.69057,0.8624,1.46658,0.50957,0.72727,0.58518,0.30276,0.45236,0.69394,0.47207,0.17423,1.5418,2.6622,0.59733,3.69679,2.34927,0.000892682,0.000892682,0.000892682
11,73.0888,1.06515,1.90162,0.69782,0.86719,1.47625,0.61482,0.75152,0.71142,0.39838,0.52264,0.69697,0.53578,0.22984,1.63598,2.70341,0.56408,2.91865,2.61567,0.00097308,0.00097308,0.00097308
12,78.8625,1.09696,2.00907,0.68623,0.89453,1.47635,0.70067,0.70225,0.7189,0.39719,0.59932,0.63004,0.57177,0.22617,1.54169,2.71151,0.55074,2.03359,2.5006,0.0010515,0.0010515,0.0010515
13,84.7521,1.12957,1.73457,0.67144,0.94726,1.50633,0.6918,0.83636,0.80071,0.50375,0.60372,0.71095,0.6079,0.29091,1.24311,2.17454,0.52228,1.93564,2.21833,0.00112794,0.00112794,0.00112794
14,90.6556,1.0981,1.62835,0.66935,0.85705,1.45378,0.6,0.71212,0.68878,0.365,0.60068,0.73939,0.6689,0.35811,1.67795,2.03828,0.52059,3.63194,2.86637,0.00120239,0.00120239,0.00120239
15,96.3746,1.08982,1.5869,0.66526,0.86579,1.47122,0.36016,0.55455,0.44167,0.19059,0.30731,0.58182,0.36879,0.17839,1.93728,2.85631,0.59467,3.22718,2.83985,0.00127487,0.00127487,0.00127487
16,102.531,1.09873,1.71118,0.6503,0.90681,1.46266,0.624,0.78452,0.72468,0.42546,0.51992,0.67273,0.53541,0.27395,1.48583,2.2969,0.43449,2.14829,2.27214,0.00134537,0.00134537,0.00134537
17,108.428,1.14185,1.52476,0.64406,0.93196,1.49876,0.68818,0.76241,0.76449,0.38649,0.56904,0.65152,0.5794,0.26683,1.54252,2.65924,0.43499,2.38743,2.39748,0.00141389,0.00141389,0.00141389
18,114.239,1.10581,1.55938,0.62196,0.92977,1.46768,0.59769,0.71818,0.68002,0.39431,0.57162,0.75152,0.62093,0.34783,1.58859,1.87083,0.37256,4.09602,2.59668,0.00148043,0.00148043,0.00148043
19,120.035,1.10077,1.4604,0.61452,0.89484,1.48157,0.55644,0.57782,0.54176,0.1958,0.47164,0.56534,0.4656,0.22074,2.16162,2.89446,0.46414,2.64571,3.47273,0.00154498,0.00154498,0.00154498
20,125.884,1.1856,1.57039,0.62999,0.97255,1.53404,0.53356,0.63333,0.60912,0.29813,0.54699,0.62727,0.61453,0.30617,1.94589,2.32093,0.45265,2.92688,2.91681,0.00160756,0.00160756,0.00160756
21,132.07,1.05694,1.43155,0.60531,0.93994,1.46003,0.2743,0.41515,0.26894,0.08052,0.3849,0.62727,0.44154,0.21533,2.79272,2.89642,0.37678,12.3363,4.24608,0.001604,0.001604,0.001604
22,137.974,1.11878,1.36924,0.58975,0.95513,1.49147,0.45288,0.74242,0.55007,0.22289,0.38594,0.66471,0.38242,0.17703,1.91042,2.89329,0.22208,6.32447,3.2186,0.0015842,0.0015842,0.0015842
23,143.831,1.04825,1.40587,0.59609,0.8908,1.45766,0.47191,0.53333,0.45341,0.17085,0.54272,0.61501,0.58131,0.32197,2.42556,2.17874,0.36317,4.85926,4.25188,0.0015644,0.0015644,0.0015644
24,149.687,1.05142,1.31834,0.58942,0.8932,1.43921,0.06655,0.45455,0.04848,0.01542,0.11582,0.72727,0.10664,0.05545,2.95648,2.5485,0.36623,15.0952,4.54585,0.0015446,0.0015446,0.0015446
25,155.551,1.04845,1.41977,0.5552,0.88424,1.41128,0.10065,0.45152,0.08053,0.03099,0.12901,0.50606,0.11528,0.05544,2.38007,2.56472,0.39129,7.10999,3.52966,0.0015248,0.0015248,0.0015248
26,161.425,1.05167,1.24813,0.56305,0.8804,1.4236,0.30377,0.58485,0.26796,0.11999,0.3202,0.63939,0.30013,0.14896,1.90948,2.40699,0.39258,3.85819,2.81756,0.001505,0.001505,0.001505
27,167.472,1.10479,1.28888,0.55363,0.87034,1.48889,0.25356,0.30676,0.17699,0.05043,0.37617,0.52727,0.35582,0.13968,3.13007,2.9451,0.39964,6.82953,4.68004,0.0014852,0.0014852,0.0014852
28,173.483,1.08848,1.40646,0.51367,0.86385,1.44373,0.60752,0.77396,0.68999,0.37667,0.55372,0.71212,0.5921,0.33562,1.50658,2.14464,0.33783,2.53937,2.10074,0.0014654,0.0014654,0.0014654
29,179.314,1.04651,1.3045,0.52565,0.84749,1.45037,0.633,0.75152,0.7461,0.44742,0.60535,0.68788,0.6683,0.38419,1.47548,1.84196,0.33061,1.81814,2.07012,0.0014456,0.0014456,0.0014456
30,185.351,1.01413,1.27826,0.50402,0.84869,1.40527,0.65319,0.84242,0.76314,0.41693,0.57744,0.73939,0.65945,0.37971,1.47356,1.95701,0.2563,2.81771,2.25305,0.0014258,0.0014258,0.0014258
31,191.075,0.96878,1.28947,0.48688,0.81121,1.35916,0.76981,0.86061,0.86576,0.54056,0.7225,0.75152,0.73037,0.49051,1.29847,1.35502,0.26173,1.38746,1.93202,0.001406,0.001406,0.001406
32,197.565,0.96174,1.17755,0.48998,0.81073,1.3898,0.80784,0.89179,0.87379,0.57894,0.66831,0.73879,0.69157,0.45479,1.25609,1.69751,0.28395,1.49209,1.8536,0.0013862,0.0013862,0.0013862
33,203.267,1.03648,1.26813,0.48259,0.84699,1.41601,0.69256,0.69394,0.73462,0.35214,0.6272,0.60303,0.63393,0.39672,1.8921,2.08256,0.26343,1.69716,2.96073,0.0013664,0.0013664,0.0013664
34,209.075,0.96567,1.209,0.4635,0.85663,1.37206,0.76128,0.87273,0.87847,0.55231,0.70307,0.73186,0.76632,0.52044,1.3771,1.51899,0.26444,1.06161,2.01466,0.0013466,0.0013466,0.0013466
35,214.952,0.97983,1.1386,0.46065,0.81506,1.36368,0.736,0.81515,0.8417,0.48197,0.68987,0.7697,0.75825,0.4724,1.52988,1.70461,0.24326,1.08666,2.32323,0.0013268,0.0013268,0.0013268
36,220.862,1.0145,1.12589,0.44072,0.83775,1.36758,0.78915,0.8,0.85424,0.53962,0.76591,0.7,0.77769,0.50224,1.38005,1.60146,0.41144,1.01984,1.99887,0.001307,0.001307,0.001307
37,226.731,0.96693,1.09861,0.45701,0.80481,1.36295,0.7557,0.80614,0.83545,0.46364,0.69499,0.77334,0.72564,0.52636,1.49067,1.31685,0.23967,1.01978,2.04889,0.0012872,0.0012872,0.0012872
38,232.728,0.99533,1.11269,0.43085,0.88021,1.37882,0.78111,0.84346,0.8859,0.57288,0.71154,0.7697,0.75373,0.51543,1.1637,1.29208,0.23192,1.17123,1.70329,0.0012674,0.0012674,0.0012674
39,238.703,0.97924,1.27324,0.44546,0.80745,1.38029,0.79271,0.88182,0.90621,0.65553,0.73964,0.79697,0.80254,0.51308,1.05754,1.37718,0.17075,1.01249,1.53558,0.0012476,0.0012476,0.0012476
40,244.46,0.9359,1.09408,0.4253,0.76233,1.36908,0.84515,0.85758,0.9061,0.65183,0.75512,0.76622,0.79016,0.55871,1.06284,1.29336,0.22432,0.75034,1.54324,0.0012278,0.0012278,0.0012278
41,250.395,0.97946,1.06263,0.3985,0.80491,1.38148,0.81855,0.87273,0.89447,0.58182,0.7404,0.79394,0.74751,0.5407,1.17193,1.21693,0.22954,1.04605,1.76862,0.001208,0.001208,0.001208
42,256.234,0.93549,1.10751,0.39218,0.7683,1.3307,0.79257,0.86667,0.86765,0.58038,0.74516,0.77973,0.75635,0.48147,1.18477,1.57552,0.23004,1.1271,1.73584,0.0011882,0.0011882,0.0011882
