epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.50295,3.78549,5.8314,0.70948,3.48787,3.68014,0,0,0,0,0,0,0,0,5.36585,6.78803,0.70713,7.05994,4.82293,0,0,0
2,8.76729,3.68692,4.97609,0.70857,3.14515,3.61755,0,0,0,0,0,0,0,0,4.82468,6.81464,0.70912,5.94243,4.37611,1.99604e-05,1.99604e-05,1.99604e-05
3,10.0884,3.34234,5.69639,0.72073,3.00725,3.45838,0,0,0,0,0,0,0,0,4.64168,6.72681,0.70788,5.13031,4.32262,3.98416e-05,3.98416e-05,3.98416e-05
4,11.4722,3.31473,4.37407,0.70536,3.07184,3.42741,0,0,0,0,0,0,0,0,4.63659,6.63971,0.70771,4.71369,4.3445,5.96436e-05,5.96436e-05,5.96436e-05
5,12.3129,3.35322,4.77506,0.71073,3.20156,3.61502,0,0,0,0,0,0,0,0,4.58947,6.48928,0.7082,4.38468,4.37047,7.93664e-05,7.93664e-05,7.93664e-05
6,13.0702,3.56031,5.12223,0.70999,3.19474,3.52343,0,0,0,0,0,0,0,0,4.51815,6.38235,0.70913,4.26219,4.3704,9.901e-05,9.901e-05,9.901e-05
7,13.9115,3.43642,5.71144,0.71491,2.88375,3.52399,0,0,0,0,0,0,0,0,4.33405,6.20733,0.71025,4.07498,4.34672,0.000118574,0.000118574,0.000118574
8,14.7556,3.45856,5.74288,0.71009,2.97444,3.58015,0,0,0,0,0,0,0,0,4.26348,6.28847,0.71037,3.85391,4.36831,0.00013806,0.00013806,0.00013806
9,15.581,3.60506,5.33091,0.70817,2.94401,3.51586,0,0,0,0,0,0,0,0,4.3269,5.92527,0.71086,3.72146,4.4012,0.000157466,0.000157466,0.000157466
10,16.4323,3.48526,5.22775,0.72561,3.17386,3.53263,0,0,0,0,0,0,0,0,4.38581,5.89024,0.71176,3.48162,4.40364,0.000176792,0.000176792,0.000176792
11,17.2414,3.56313,5.05572,0.70416,2.86347,3.3796,0,0,0,0,0,0,0,0,4.35936,5.89579,0.71205,3.26744,4.36254,0.00019604,0.00019604,0.00019604
12,18.0808,3.46735,4.75025,0.71577,2.97711,3.43636,0,0,0,0,0,0,0,0,4.28434,5.8495,0.7116,3.16529,4.31915,0.000215208,0.000215208,0.000215208
13,18.9075,3.13529,4.97725,0.70275,2.92359,3.32303,0,0,0,0,0,0,0,0,4.18396,6.05385,0.71228,3.04026,4.26725,0.000234298,0.000234298,0.000234298
14,19.7524,3.36095,5.31394,0.71884,2.69441,3.20817,0,0,0,0,0,0,0,0,4.05703,5.87246,0.71494,2.93734,4.18789,0.000253308,0.000253308,0.000253308
15,20.5685,3.10597,4.77528,0.69554,2.48342,3.18909,0,0,0,0,0,0,0,0,3.8266,6.04871,0.7162,2.86845,4.06668,0.000272238,0.000272238,0.000272238
16,21.3873,3.16601,5.72895,0.71272,2.30152,3.04505,0,0,0,0,0,0,0,0,3.57936,5.83111,0.71744,2.84982,3.92432,0.00029109,0.00029109,0.00029109
17,22.2476,2.9863,5.36646,0.70894,2.36064,3.18653,0.5,0.04348,0.28336,0.05442,0,0,0,0,3.45717,5.85652,0.71746,2.80783,3.80197,0.000309862,0.000309862,0.000309862
18,23.0824,2.89899,5.23536,0.70948,2.12654,2.92044,0.66667,0.08696,0.36231,0.14503,0,0,0,0,3.39718,5.89443,0.71613,2.73125,3.71269,0.000328556,0.000328556,0.000328556
19,23.9159,3.11369,5.4217,0.72304,2.20303,3.0339,0.2,0.08696,0.11598,0.05135,0,0,0,0,3.30126,5.97481,0.71291,2.59725,3.6641,0.00034717,0.00034717,0.00034717
20,24.854,2.9017,4.00826,0.71304,2.45412,3.06526,0.25,0.13043,0.1603,0.04992,0,0,0,0,3.11588,5.94921,0.71321,2.5332,3.585,0.000365704,0.000365704,0.000365704
21,25.7251,2.97548,4.96566,0.71088,2.18525,2.98919,0.26667,0.17391,0.1637,0.05261,0,0,0,0,3.00232,5.85742,0.71339,2.43926,3.50287,0.00038416,0.00038416,0.00038416
22,26.6671,2.49267,5.55676,0.69568,2.06678,2.75753,0.23529,0.17391,0.14886,0.03936,0,0,0,0,2.89642,5.79045,0.71229,2.34697,3.42713,0.000402536,0.000402536,0.000402536
23,27.691,3.4926,5.80484,0.70192,2.23572,3.17385,0.2,0.17391,0.11923,0.03299,0,0,0,0,2.87836,5.82545,0.71159,2.31558,3.40596,0.000420834,0.000420834,0.000420834
